Designator,Mid X,Mid Y,Rotation,Layer
C1,128.75,-103.5,0.0,top
C2,128.525,-90.5,180.0,top
J1,119.0,-98.25,180.0,top
J2,139.4,-97.0,90.0,top
U2,128.75,-97.0,0.0,top
